,Type,SubType,Menu Item,Size,Price,Calories
366,Sweets & Treats,Sundaes & Cones,Caramel Sundae,,2.69,340
367,Sweets & Treats,Sundaes & Cones,Plain Sundae,,2.69,210
368,Sweets & Treats,Cookies,Red Velvet Cookie,,0.99,160
369,Sweets & Treats,Cookies,Chocolate Chunk Cookie,,0.99,160
370,Sweets & Treats,Cookies,Lil' Gem Cookie,,0.99,150
371,Snacks & Sides,Poutine,Poutine,,4.49,880
372,Snacks & Sides,Fries,Fries,Small,1.69,240
373,Snacks & Sides,Fries,Fries,Medium,2.89,350
374,Snacks & Sides,Fries,Fries,Large,3.29,560
375,Condiments,McNugget Sauces,Barbeque Sauce,,0.2,40
376,Condiments,McNugget Sauces,Sweet & Sour Sauce,,0.2,50
377,Condiments,McNugget Sauces,Honey,,0.2,45
378,Condiments,McNugget Sauces,Hot Mustard,,0.2,60
379,Condiments,Salad Dressings,Asiago Caesar Cal-W Dressing,,0.6,150
380,Condiments,Salad Dressings,Asiago Caesar Dressing,,0.6,210
381,Condiments,Salad Dressings,Greek Dressing,,0.6,140
382,Condiments,Salad Dressings,Sweet Balsamic Dressing,,0.6,120
383,Condiments,Other Condiments,Big Mac Sauce,,0.3,50
384,Condiments,Other Condiments,Mayo-Style Sauce,,0.1,60
385,Condiments,Other Condiments,Ketchup Packets,,0,10
386,Condiments,Other Condiments,Salt,,0,0
387,Condiments,Other Condiments,Pepper Packets,,0,0
388,Condiments,Other Condiments,Butter Packet,,0,35
389,Condiments,Other Condiments,Peanut Butter,,0,110
390,Condiments,Other Condiments,Becel Portions,,0,50
391,Condiments,Other Condiments,Gravy,,0.59,320
392,Condiments,Other Condiments,Vinegar Packet,,0,2
393,Condiments,Other Condiments,Cream Packets,,0,15
394,Condiments,Other Condiments,Milk Packets,,0,5
395,Condiments,Other Condiments,Regular Cream Cheese,,0.8,110
396,Condiments,Other Condiments,Herb & Garlic Cream Cheese,,0.8,110
